time           Mn         Mw         D
611.593        2.0411     2.0604     1.00946
612.336        2.04102     2.06029     1.00944
612.365        2.04095     2.06019     1.00943
613.202        2.04087     2.06008     1.00941
614.317        2.0408     2.05997     1.0094
614.805        2.04072     2.05987     1.00938
614.976        2.04065     2.05976     1.00936
615.108        2.04058     2.05966     1.00935
617.172        2.04324     2.06349     1.00991
617.928        2.04317     2.06338     1.00989
618.844        2.04309     2.06327     1.00988
619.11         2.04301     2.06316     1.00986
619.412        2.04293     2.06305     1.00985
621.833        2.04286     2.06294     1.00983
622.38         2.04278     2.06283     1.00981
622.943        2.0427     2.06272     1.0098
624.772        2.04263     2.06261     1.00978
628.269        2.04255     2.0625     1.00977
629.155        2.04248     2.06239     1.00975
629.402        2.0424     2.06228     1.00973
630.267        2.04233     2.06218     1.00972
630.72         2.04225     2.06207     1.0097
631.709        2.04485     2.06581     1.01025
632.819        2.04478     2.06569     1.01023
632.977        2.0447     2.06558     1.01021
633.344        2.04462     2.06547     1.0102
634.206        2.04454     2.06536     1.01018
634.349        2.04446     2.06525     1.01016
635.411        2.04439     2.06513     1.01015
637.176        2.04431     2.06502     1.01013
639.082        2.04423     2.06491     1.01012
639.699        2.04416     2.0648     1.0101
640.015        2.04408     2.06469     1.01008
640.189        2.04663     2.06835     1.01061
640.297        2.04655     2.06824     1.0106
640.921        2.04647     2.06812     1.01058
641.127        2.04639     2.06801     1.01056
643.341        2.04631     2.0679     1.01055
643.612        2.04623     2.06778     1.01053
644.227        2.04615     2.06767     1.01052
644.511        2.04608     2.06756     1.0105
644.632        2.046      2.06744     1.01048
644.855        2.04592     2.06733     1.01047
645.617        2.04584     2.06722     1.01045
646.618        2.04576     2.06711     1.01043
646.805        2.04569     2.067      1.01042
648.245        2.04561     2.06689     1.0104
650.212        2.04553     2.06678     1.01039
650.504        2.04802     2.07034     1.0109
650.517        2.04794     2.07023     1.01088
654.005        2.04786     2.07011     1.01087
654.858        2.04778     2.07       1.01085
656.072        2.0477     2.06988     1.01083
657.823        2.04762     2.06977     1.01082
659.866        2.04754     2.06965     1.0108
661.532        2.04746     2.06954     1.01078
662.925        2.04738     2.06943     1.01077
666.238        2.0473     2.06931     1.01075
666.25         2.04722     2.0692     1.01074
667.632        2.04715     2.06909     1.01072
667.741        2.04707     2.06898     1.0107
667.886        2.04699     2.06887     1.01069
669.033        2.04691     2.06876     1.01067
670.611        2.04684     2.06865     1.01066
670.906        2.04676     2.06854     1.01064
673.473        2.04668     2.06843     1.01062
675.15         2.04661     2.06832     1.01061
675.59         2.04902     2.07177     1.0111
677.401        2.04894     2.07166     1.01109
677.758        2.04886     2.07154     1.01107
678.172        2.04878     2.07143     1.01105
679.963        2.0487     2.07132     1.01104
681.18         2.04862     2.0712     1.01102
683.019        2.04854     2.07109     1.01101
683.592        2.04847     2.07098     1.01099
684.298        2.04839     2.07087     1.01097
685.556        2.04831     2.07075     1.01096
687.504        2.04823     2.07064     1.01094
687.672        2.04815     2.07053     1.01093
688.912        2.04808     2.07042     1.01091
690.854        2.048      2.07031     1.01089
692.006        2.05036     2.07368     1.01138
694.062        2.05028     2.07357     1.01136
694.642        2.0502     2.07346     1.01134
695.175        2.05012     2.07334     1.01133
695.663        2.05004     2.07323     1.01131
696.722        2.04996     2.07311     1.01129
697.502        2.04988     2.073      1.01128
697.656        2.0498     2.07289     1.01126
698.192        2.04972     2.07278     1.01125
698.226        2.04965     2.07266     1.01123
698.468        2.04957     2.07255     1.01121
700.173        2.04949     2.07244     1.0112
700.488        2.04941     2.07233     1.01118
701.203        2.04933     2.07222     1.01117
702.56         2.04926     2.07211     1.01115
703.121        2.04918     2.072      1.01114
703.883        2.0491     2.07189     1.01112
707.523        2.04903     2.07178     1.0111
709.961        2.04895     2.07167     1.01109
711.09         2.04888     2.07156     1.01107
712.803        2.0488     2.07146     1.01106
714.628        2.04872     2.07135     1.01104
716.983        2.04865     2.07124     1.01103
717.663        2.04857     2.07113     1.01101
719.568        2.0485     2.07103     1.011 
721.303        2.04842     2.07092     1.01098
721.724        2.04835     2.07081     1.01097
722.255        2.04828     2.07071     1.01095
723.523        2.0482     2.0706     1.01094
723.565        2.05046     2.07383     1.0114
724.692        2.05038     2.07372     1.01138
726.706        2.0503     2.07361     1.01136
728.296        2.05023     2.0735     1.01135
728.395        2.05015     2.07339     1.01133
729.353        2.05008     2.07328     1.01132
730.32         2.05       2.07317     1.0113
731.873        2.04992     2.07306     1.01129
734.097        2.04985     2.07296     1.01127
734.116        2.04977     2.07285     1.01126
734.855        2.0497     2.07274     1.01124
736.223        2.04962     2.07263     1.01123
737.532        2.04955     2.07253     1.01121
737.661        2.04948     2.07242     1.0112
738.389        2.0494     2.07232     1.01118
741.197        2.04933     2.07221     1.01117
741.777        2.04925     2.0721     1.01115
742.091        2.04918     2.072      1.01114
743.836        2.04911     2.0719     1.01112
744.509        2.04903     2.07179     1.01111
744.975        2.04896     2.07169     1.01109
751.642        2.04889     2.07158     1.01108
752.014        2.04882     2.07148     1.01106
752.934        2.04874     2.07138     1.01105
754.987        2.04867     2.07127     1.01103
755.275        2.0486     2.07117     1.01102
756.591        2.04853     2.07107     1.011 
756.884        2.04846     2.07097     1.01099
756.986        2.04839     2.07087     1.01097
757.243        2.04832     2.07076     1.01096
759.43         2.04825     2.07066     1.01095
759.774        2.04818     2.07056     1.01093
760.923        2.0481     2.07046     1.01092
762.154        2.04803     2.07036     1.0109
763.17         2.04797     2.07026     1.01089
764.094        2.0479     2.07016     1.01087
765.083        2.04783     2.07006     1.01086
767.316        2.04776     2.06996     1.01084
768.125        2.04989     2.07302     1.01128
769.813        2.04982     2.07291     1.01127
770.721        2.04975     2.07281     1.01125
772.449        2.04968     2.07271     1.01124
777.106        2.0496     2.07261     1.01122
777.364        2.04953     2.0725     1.01121
779.862        2.04946     2.0724     1.01119
780.699        2.04939     2.0723     1.01118
783.123        2.04932     2.0722     1.01116
783.422        2.04925     2.0721     1.01115
785.286        2.05136     2.0751     1.01158
787.172        2.05346     2.0781     1.012 
787.189        2.05338     2.07799     1.01198
787.227        2.0533     2.07788     1.01197
789.101        2.05323     2.07777     1.01195
789.385        2.05532     2.08075     1.01237
790.593        2.05524     2.08063     1.01236
793.375        2.05516     2.08052     1.01234
793.457        2.05508     2.08041     1.01232
796.341        2.05501     2.0803     1.01231
796.769        2.05493     2.08019     1.01229
797.942        2.05485     2.08008     1.01228
798.28         2.05478     2.07997     1.01226
799.305        2.0547     2.07986     1.01225
803.126        2.05462     2.07975     1.01223
803.402        2.05455     2.07965     1.01222
803.404        2.05447     2.07954     1.0122
803.529        2.05439     2.07943     1.01219
804.819        2.05432     2.07932     1.01217
807.509        2.05424     2.07921     1.01216
808.518        2.05417     2.07911     1.01214
808.599        2.05409     2.079      1.01213
808.864        2.05402     2.07889     1.01211
808.948        2.05394     2.07879     1.0121
809.912        2.05387     2.07868     1.01208
810.326        2.05379     2.07858     1.01207
811.205        2.05372     2.07847     1.01205
811.588        2.05365     2.07837     1.01204
812.258        2.05357     2.07826     1.01202
812.27         2.0535     2.07816     1.01201
812.847        2.05342     2.07805     1.01199
814.189        2.05335     2.07795     1.01198
815.402        2.05328     2.07784     1.01196
816.173        2.05321     2.07774     1.01195
816.922        2.05313     2.07764     1.01194
817.878        2.05306     2.07753     1.01192
818.129        2.05299     2.07743     1.01191
820.006        2.05292     2.07733     1.01189
820.026        2.05285     2.07723     1.01188
822.407        2.05277     2.07713     1.01186
822.672        2.0527     2.07702     1.01185
823.23         2.05263     2.07692     1.01183
824.828        2.05256     2.07682     1.01182
831.506        2.05249     2.07672     1.01181
834.067        2.05242     2.07662     1.01179
834.158        2.05235     2.07652     1.01178
834.735        2.05228     2.07642     1.01176
838.03         2.05221     2.07632     1.01175
839.636        2.05214     2.07622     1.01174
839.656        2.05207     2.07612     1.01172
843.715        2.052      2.07602     1.01171
844.137        2.05193     2.07592     1.01169
846.566        2.05186     2.07583     1.01168
848.417        2.05179     2.07573     1.01167
849.592        2.05172     2.07563     1.01165
850.461        2.05166     2.07553     1.01164
851.295        2.05159     2.07544     1.01162
851.606        2.05354     2.07821     1.01202
852.97         2.05347     2.07811     1.012 
852.97         2.05339     2.07801     1.01199
853.453        2.05332     2.07791     1.01197
853.932        2.05325     2.07781     1.01196
854.596        2.05318     2.07771     1.01195
855.152        2.05311     2.07761     1.01193
855.167        2.05305     2.07751     1.01192
857.523        2.05298     2.07741     1.0119
859.292        2.05621     2.08455     1.01378
859.913        2.05614     2.08444     1.01377
860.12         2.05606     2.08434     1.01375
861.698        2.05599     2.08423     1.01374
862.019        2.05592     2.08412     1.01372
862.251        2.05584     2.08402     1.0137
863.5          2.05577     2.08391     1.01369
863.918        2.0557     2.08381     1.01367
865.134        2.05563     2.0837     1.01366
865.29         2.05556     2.0836     1.01364
867.422        2.05548     2.08349     1.01363
869.854        2.05541     2.08339     1.01361
871.351        2.05534     2.08328     1.01359
871.699        2.05527     2.08318     1.01358
871.909        2.0552     2.08307     1.01356
872.204        2.05513     2.08297     1.01355
872.409        2.05506     2.08287     1.01353
873.031        2.05499     2.08276     1.01352
875.075        2.05492     2.08266     1.0135
