time           AA         BB         polymer 
321.359        0.0002     0.0001     0.0322
322.05         0.0002     0.0001     0.0323
323.85         0.0002     0.0001     0.0324
324.217        0.0002     0.0001     0.0325
324.258        0.0002     0.0001     0.0326
324.273        0.0002     0.0001     0.0327
326.373        0.0002     0.0001     0.0328
326.654        0.0002     0.0001     0.0329
327.776        0.0002     0.0001     0.033 
331.264        0.0002     0.0001     0.0331
331.327        0.0002     0.0001     0.0332
331.644        0.0002     0.0001     0.0333
332.633        0.0002     0.0001     0.0334
335.527        0.0002     0.0001     0.0335
335.665        0.0002     0.0001     0.0336
336.463        0.0002     0.0001     0.0337
338.32         0.0002     0.0001     0.0338
341.284        0.0002     0.0001     0.0338
342.24         0.0002     0.0001     0.0339
344.971        0.0002     0.0001     0.034 
344.994        0.0002     0.0001     0.0341
345.137        0.0002     0.0001     0.0342
347.581        0.0002     0.0001     0.0342
348.521        0.0002     0.0001     0.0342
349.934        0.0002     0.0001     0.0343
350.261        0.0002     0.0001     0.0344
350.512        0.0002     0.0001     0.0345
351.987        0.0002     0.0001     0.0346
351.989        0.0002     0.0001     0.0347
353.84         0.0002     0.0001     0.0348
354.26         0.0002     0.0001     0.0349
354.704        0.0002     0.0001     0.035 
355.477        0.0002     0.0001     0.0351
355.793        0.0002     0.0001     0.0352
356.307        0.0002     0.0001     0.0353
357.621        0.0002     0.0001     0.0354
357.853        0.0002     0.0001     0.0355
358.628        0.0002     0.0001     0.0356
359.574        0.0002     0.0001     0.0357
359.857        0.0002     0.0001     0.0358
360.923        0.0002     0.0001     0.0359
361.449        0.0002     0.0001     0.036 
361.745        0.0002     0.0001     0.0361
362.48         0.0002     0.0001     0.0362
363.297        0.0002     0.0001     0.0363
363.82         0.0002     0.0001     0.0364
364.388        0.0002     0.0001     0.0365
366.31         0.0002     0.0001     0.0366
368.031        0.0002     0.0001     0.0367
369.15         0.0002     0.0001     0.0368
369.266        0.0002     0.0001     0.0369
371.429        0.0002     0.0001     0.037 
375.213        0.0002     0.0001     0.0371
375.44         0.0002     0.0001     0.0372
375.451        0.0002     0.0001     0.0373
376.165        0.0002     0.0001     0.0374
376.455        0.0002     0.0001     0.0375
379.499        0.0002     0.0001     0.0376
381.161        0.0002     0.0001     0.0377
381.622        0.0002     0.0001     0.0378
381.798        0.0002     0.0001     0.0379
382.393        0.0002     0.0001     0.038 
383.968        0.0002     0.0001     0.0381
384.259        0.0002     0.0001     0.0382
384.929        0.0002     0.0001     0.0383
385.391        0.0002     0.0001     0.0384
387.725        0.0002     0.0001     0.0385
387.965        0.0002     0.0001     0.0385
389.154        0.0002     0.0001     0.0386
392.937        0.0002     0.0001     0.0387
394.545        0.0002     0.0001     0.0387
394.763        0.0002     0.0001     0.0388
394.849        0.0002     0.0001     0.0389
394.998        0.0002     0.0001     0.039 
395.039        0.0002     0.0001     0.0391
395.898        0.0002     0.0001     0.0391
396.015        0.0002     0.0001     0.0392
398.625        0.0002     0.0001     0.0393
399.186        0.0002     0.0001     0.0394
399.604        0.0002     0.0001     0.0395
402.544        0.0002     0.0001     0.0396
402.665        0.0002     0.0001     0.0396
402.907        0.0002     0.0001     0.0397
403.888        0.0002     0.0001     0.0398
405.65         0.0002     0.0001     0.0399
406.903        0.0002     0.0001     0.04  
408.883        0.0002     0.0001     0.0401
409.423        0.0002     0.0001     0.0402
410.429        0.0002     0.0001     0.0403
412.306        0.0002     0.0001     0.0404
413.332        0.0002     0.0001     0.0405
413.848        0.0002     0.0001     0.0406
414.142        0.0002     0.0001     0.0407
414.846        0.0002     0.0001     0.0408
415.638        0.0002     0.0001     0.0409
421.115        0.0002     0.0001     0.041 
421.332        0.0002     0.0001     0.0411
421.525        0.0002     0.0001     0.0412
425.772        0.0002     0.0001     0.0413
427.106        0.0002     0.0001     0.0414
427.503        0.0002     0.0001     0.0415
430.506        0.0002     0.0001     0.0416
430.536        0.0002     0.0001     0.0417
433.101        0.0002     0.0001     0.0418
435.273        0.0002     0.0001     0.0418
435.709        0.0002     0.0001     0.0419
436.216        0.0002     0.0001     0.042 
437.815        0.0002     0.0001     0.0421
441.063        0.0002     0.0001     0.0421
445.129        0.0002     0.0001     0.0422
447.232        0.0002     0.0001     0.0423
448.309        0.0002     0.0001     0.0424
448.811        0.0002     0.0001     0.0425
449.751        0.0002     0.0001     0.0426
450.446        0.0002     0.0001     0.0427
450.959        0.0002     0.0001     0.0428
452.341        0.0002     0.0001     0.0429
453.998        0.0002     0.0001     0.043 
455.46         0.0002     0.0001     0.0431
455.8          0.0002     0.0001     0.0432
455.873        0.0002     0.0001     0.0433
456.504        0.0002     0.0001     0.0434
457.296        0.0002     0.0001     0.0435
458.779        0.0002     0.0001     0.0436
459.034        0.0002     0.0001     0.0437
459.952        0.0002     0.0001     0.0438
460.728        0.0002     0.0001     0.0439
461.589        0.0002     0.0001     0.044 
468.979        0.0002     0.0001     0.0441
469.083        0.0002     0.0001     0.0442
470.028        0.0002     0.0001     0.0443
471.89         0.0002     0.0001     0.0444
471.911        0.0002     0.0001     0.0445
472.474        0.0002     0.0001     0.0446
474.742        0.0002     0.0001     0.0447
475.013        0.0002     0.0001     0.0448
475.361        0.0002     0.0001     0.0449
475.74         0.0002     0.0001     0.045 
477.568        0.0002     0.0001     0.0451
480.713        0.0002     0.0001     0.0452
482.389        0.0002     0.0001     0.0453
482.657        0.0002     0.0001     0.0454
483.472        0.0002     0.0001     0.0455
483.741        0.0002     0.0001     0.0456
484.3          0.0002     0.0001     0.0457
486.92         0.0002     0.0001     0.0458
487.776        0.0002     0.0001     0.0459
488.032        0.0002     0.0001     0.046 
489.583        0.0002     0.0001     0.0461
492.77         0.0002     0.0001     0.0462
494.64         0.0002     0.0001     0.0463
496.925        0.0002     0.0001     0.0464
496.938        0.0002     0.0001     0.0464
498.936        0.0002     0.0001     0.0465
499.43         0.0002     0.0001     0.0466
499.594        0.0002     0.0001     0.0467
503.92         0.0002     0.0001     0.0468
504.215        0.0002     0.0001     0.0469
507.58         0.0002     0.0001     0.047 
508.704        0.0002     0.0001     0.0471
508.817        0.0002     0.0001     0.0472
509.894        0.0002     0.0001     0.0473
512.216        0.0002     0.0001     0.0474
513.329        0.0002     0.0001     0.0475
513.641        0.0002     0.0001     0.0476
513.677        0.0002     0.0001     0.0477
514.03         0.0002     0.0001     0.0478
516.865        0.0002     0.0001     0.0479
517.213        0.0002     0.0001     0.048 
518.054        0.0002     0.0001     0.0481
519.418        0.0002     0.0001     0.0482
522.132        0.0002     0.0001     0.0483
524.137        0.0002     0.0001     0.0484
526.397        0.0002     0.0001     0.0485
526.545        0.0002     0.0001     0.0486
528.878        0.0002     0.0001     0.0487
533.499        0.0002     0.0001     0.0488
535.081        0.0002     0.0001     0.0489
535.129        0.0002     0.0001     0.049 
535.135        0.0002     0.0001     0.0491
535.948        0.0002     0.0001     0.0492
537.517        0.0002     0.0001     0.0492
540.205        0.0002     0.0001     0.0493
542.45         0.0002     0.0001     0.0494
542.629        0.0002     0.0001     0.0495
542.888        0.0002     0.0001     0.0496
542.953        0.0002     0.0001     0.0497
543.86         0.0002     0.0001     0.0498
546.192        0.0002     0.0001     0.0499
547.309        0.0002     0.0001     0.05  
548.089        0.0002     0.0001     0.0501
548.357        0.0002     0.0001     0.0502
550.722        0.0002     0.0001     0.0503
550.87         0.0002     0.0001     0.0504
551.474        0.0002     0.0001     0.0505
552.025        0.0002     0.0001     0.0506
553.769        0.0002     0.0001     0.0507
554.548        0.0002     0.0001     0.0508
554.77         0.0002     0.0001     0.0509
555.849        0.0002     0.0001     0.051 
556.949        0.0002     0.0001     0.051 
557.528        0.0002     0.0001     0.0511
557.641        0.0002     0.0001     0.0512
558.981        0.0002     0.0001     0.0513
559.423        0.0002     0.0001     0.0514
559.765        0.0002     0.0001     0.0515
560.91         0.0002     0.0001     0.0516
561.344        0.0002     0.0001     0.0517
561.465        0.0002     0.0001     0.0518
562.01         0.0002     0.0001     0.0519
562.215        0.0002     0.0001     0.052 
563.662        0.0002     0.0001     0.0521
563.985        0.0002     0.0001     0.0522
564.235        0.0002     0.0001     0.0523
567.635        0.0002     0.0001     0.0524
568.935        0.0002     0.0001     0.0525
568.958        0.0002     0.0001     0.0526
568.966        0.0002     0.0001     0.0527
569.369        0.0002     0.0001     0.0528
570.776        0.0002     0.0001     0.0528
574.154        0.0002     0.0001     0.0529
576.73         0.0002     0.0001     0.053 
577.746        0.0002     0.0001     0.0531
578.681        0.0002     0.0001     0.0532
581.603        0.0002     0.0001     0.0533
582.14         0.0002     0.0001     0.0534
582.174        0.0002     0.0001     0.0535
583.658        0.0002     0.0001     0.0536
584.026        0.0002     0.0001     0.0537
585.965        0.0002     0.0001     0.0538
587.633        0.0002     0.0001     0.0539
589.197        0.0002     0.0001     0.054 
589.55         0.0002     0.0001     0.0541
590.083        0.0002     0.0001     0.0542
591.347        0.0002     0.0001     0.0543
591.535        0.0002     0.0001     0.0544
593.715        0.0002     0.0001     0.0545
594.93         0.0002     0.0001     0.0546
598.114        0.0002     0.0001     0.0547
598.168        0.0002     0.0001     0.0548
599.096        0.0002     0.0001     0.0549
599.119        0.0002     0.0001     0.055 
600.324        0.0002     0.0001     0.0551
600.421        0.0002     0.0001     0.0552
600.876        0.0002     0.0001     0.0553
601.091        0.0002     0.0001     0.0554
602.871        0.0002     0.0001     0.0555
604.612        0.0002     0.0001     0.0556
605.658        0.0002     0.0001     0.0557
606.35         0.0002     0.0001     0.0558
606.61         0.0002     0.0001     0.0559
610.59         0.0002     0.0001     0.056 
610.696        0.0002     0.0001     0.0561
611.743        0.0002     0.0001     0.0562
613.166        0.0002     0.0001     0.0563
613.753        0.0002     0.0001     0.0564
614.757        0.0002     0.0001     0.0565
614.84         0.0002     0.0001     0.0566
615.178        0.0002     0.0001     0.0567
615.185        0.0002     0.0001     0.0568
616.451        0.0002     0.0001     0.0569
617.139        0.0002     0.0001     0.057 
617.269        0.0002     0.0001     0.0571
617.656        0.0002     0.0001     0.0572
618.085        0.0002     0.0001     0.0573
620.802        0.0002     0.0001     0.0574
621.506        0.0002     0.0001     0.0575
621.589        0.0002     0.0001     0.0576
621.92         0.0002     0.0001     0.0577
622.163        0.0002     0.0001     0.0578
622.494        0.0002     0.0001     0.0579
623.088        0.0002     0.0001     0.058 
624.212        0.0002     0.0001     0.0581
624.307        0.0002     0.0001     0.0582
624.739        0.0002     0.0001     0.0582
626.769        0.0002     0.0001     0.0583
628.782        0.0002     0.0001     0.0584
629.134        0.0002     0.0001     0.0585
630.497        0.0002     0.0001     0.0586
630.783        0.0002     0.0001     0.0587
634.552        0.0002     0.0001     0.0588
634.645        0.0002     0.0001     0.0589
636.443        0.0002     0.0001     0.059 
637.921        0.0002     0.0001     0.0591
638.331        0.0002     0.0001     0.0592
639.077        0.0002     0.0001     0.0593
640.386        0.0002     0.0001     0.0594
640.736        0.0002     0.0001     0.0595
641.354        0.0002     0.0001     0.0596
641.739        0.0002     0.0001     0.0597
642.611        0.0002     0.0001     0.0598
643.02         0.0002     0.0001     0.0599
644.411        0.0002     0.0001     0.06  
644.613        0.0002     0.0001     0.0601
645.344        0.0002     0.0001     0.0602
645.817        0.0002     0.0001     0.0603
647.035        0.0002     0.0001     0.0604
648.672        0.0002     0.0001     0.0605
648.714        0.0002     0.0001     0.0606
648.763        0.0002     0.0001     0.0607
649.302        0.0002     0.0001     0.0608
649.853        0.0002     0.0001     0.0609
650.392        0.0002     0.0001     0.061 
652.587        0.0002     0.0001     0.0611
652.953        0.0002     0.0001     0.0612
654.496        0.0002     0.0001     0.0613
654.543        0.0002     0.0001     0.0614
654.892        0.0002     0.0001     0.0615
655.421        0.0002     0.0001     0.0616
655.967        0.0002     0.0001     0.0617
656.003        0.0002     0.0001     0.0618
656.065        0.0002     0.0001     0.0619
657.367        0.0002     0.0001     0.062 
659.026        0.0002     0.0001     0.062 
659.281        0.0002     0.0001     0.0621
661.626        0.0002     0.0001     0.0622
663.13         0.0002     0.0001     0.0623
663.704        0.0002     0.0001     0.0624
664.592        0.0002     0.0001     0.0625
664.679        0.0002     0.0001     0.0626
665.122        0.0002     0.0001     0.0627
665.203        0.0002     0.0001     0.0628
665.997        0.0002     0.0001     0.0629
667.167        0.0002     0.0001     0.063 
668.163        0.0002     0.0001     0.0631
669.716        0.0002     0.0001     0.0632
669.962        0.0002     0.0001     0.0633
670.679        0.0002     0.0001     0.0634
671.034        0.0002     0.0001     0.0635
672.554        0.0002     0.0001     0.0636
673.2          0.0002     0.0001     0.0637
673.318        0.0002     0.0001     0.0638
673.376        0.0002     0.0001     0.0639
674.681        0.0002     0.0001     0.0639
676.862        0.0002     0.0001     0.0639
677.414        0.0002     0.0001     0.064 
678.685        0.0002     0.0001     0.0641
678.768        0.0002     0.0001     0.0642
679.328        0.0002     0.0001     0.0643
679.858        0.0002     0.0001     0.0643
680.259        0.0002     0.0001     0.0643
680.597        0.0002     0.0001     0.0644
684.224        0.0002     0.0001     0.0645
686.402        0.0002     0.0001     0.0646
687.153        0.0002     0.0001     0.0647
687.297        0.0002     0.0001     0.0648
689.213        0.0002     0.0001     0.0649
693.359        0.0002     0.0001     0.065 
695.207        0.0002     0.0001     0.0651
698.486        0.0002     0.0001     0.0652
698.673        0.0002     0.0001     0.0653
706.824        0.0002     0.0001     0.0653
708.218        0.0002     0.0001     0.0653
709.935        0.0002     0.0001     0.0654
