time           Conversion     Mn         Mw         D
23144.3        0.52425        2.10194     3.1848     1.515170.213949       19030 
23148.3        0.5243         2.10217     3.1858     1.515490.213904       19028 
23152.5        0.52435        2.10239     3.1862     1.515520.213859       19026 
23165          0.5244         2.10261     3.1868     1.515640.213814       19024 
23170.3        0.52445        2.10283     3.187      1.515580.21377        19022 
23177.7        0.5245         2.10305     3.1873     1.515560.213725       19020 
23182.9        0.52455        2.10327     3.1877     1.515590.21368        19018 
23199.2        0.5246         2.10349     3.1878     1.515480.213635       19016 
23200.5        0.52465        2.10371     3.1879     1.515370.21359        19014 
23201.3        0.5247         2.10393     3.1887     1.515590.213545       19012 
23217.4        0.52475        2.10416     3.189      1.515570.2135         19010 
23217.9        0.5248         2.10438     3.1893     1.515560.213455       19008 
23219.8        0.52485        2.1046     3.1899     1.515680.21341        19006 
23220.7        0.5249         2.10482     3.19       1.515570.213365       19004 
23226          0.52495        2.10504     3.1912     1.515980.21332        19002 
23226.5        0.525          2.10526     3.192      1.51620.213275       19000 
23228.6        0.52505        2.10548     3.1921     1.516090.213231       18998 
23232          0.5251         2.10571     3.1925     1.516120.213186       18996 
23235          0.52515        2.10593     3.1927     1.516050.213141       18994 
23235.4        0.5252         2.10615     3.1939     1.516460.213096       18992 
23237.7        0.52525        2.10637     3.1941     1.51640.213051       18990 
23238.7        0.5253         2.10659     3.1942     1.516290.213006       18988 
23241.5        0.52535        2.10682     3.1949     1.516460.212961       18986 
23245.2        0.5254         2.10704     3.195      1.516350.212916       18984 
23245.6        0.52545        2.10726     3.1951     1.516230.212872       18982 
23246.1        0.5255         2.10748     3.1953     1.516170.212827       18980 
23258.7        0.52555        2.1077     3.1956     1.516150.212782       18978 
23259.3        0.5256         2.10793     3.1959     1.516130.212737       18976 
23261.7        0.52565        2.10815     3.196      1.516020.212692       18974 
23264.7        0.5257         2.10837     3.1961     1.515910.212647       18972 
23265.1        0.52575        2.10859     3.1962     1.51580.212603       18970 
23270.4        0.5258         2.10881     3.1964     1.515730.212558       18968 
23270.8        0.52585        2.10904     3.1965     1.515620.212513       18966 
23281.4        0.5259         2.10926     3.1974     1.515890.212468       18964 
23288.4        0.52595        2.10948     3.1975     1.515770.212423       18962 
23302.1        0.526          2.1097     3.1976     1.515660.212378       18960 
23305          0.52605        2.10993     3.1986     1.515980.212334       18958 
23305.1        0.5261         2.11015     3.199      1.516010.212289       18956 
23308.9        0.52615        2.11037     3.201      1.516790.212244       18954 
23311.3        0.5262         2.1106     3.2014     1.516820.212199       18952 
23320.3        0.52625        2.11082     3.2015     1.516710.212155       18950 
23331.7        0.5263         2.11104     3.2027     1.517120.21211        18948 
23348.5        0.52635        2.11126     3.2041     1.517620.212065       18946 
23355.2        0.5264         2.11149     3.2043     1.517560.21202        18944 
23362.2        0.52645        2.11171     3.2048     1.517630.211975       18942 
23365.9        0.5265         2.11193     3.2049     1.517520.211931       18940 
23368.8        0.52655        2.11216     3.2053     1.517550.211886       18938 
23371.9        0.5266         2.11238     3.2054     1.517440.211841       18936 
23373.1        0.52665        2.1126     3.2057     1.517420.211796       18934 
23374.2        0.5267         2.11282     3.2058     1.517310.211752       18932 
23380.7        0.52675        2.11305     3.2062     1.517330.211707       18930 
23391.7        0.5268         2.11327     3.2065     1.517320.211662       18928 
23396          0.52685        2.11349     3.2067     1.517250.211618       18926 
23421.3        0.5269         2.11372     3.2069     1.517180.211573       18924 
23427.9        0.52695        2.11394     3.2072     1.517170.211528       18922 
23429.7        0.527          2.11416     3.2088     1.517760.211483       18920 
23431.1        0.52705        2.11439     3.2094     1.517890.211439       18918 
23435.3        0.5271         2.11461     3.2136     1.519710.211394       18916 
23437.7        0.52715        2.11484     3.2141     1.519790.211349       18914 
23441.2        0.5272         2.11506     3.2143     1.519720.211305       18912 
23454.7        0.52725        2.11528     3.2146     1.51970.21126        18910 
23456.1        0.5273         2.11551     3.2147     1.519590.211215       18908 
23467.1        0.52735        2.11573     3.2153     1.519710.211171       18906 
23469.6        0.5274         2.11595     3.2156     1.519690.211126       18904 
23470.3        0.52745        2.11618     3.2158     1.519630.211081       18902 
23474.2        0.5275         2.1164     3.216      1.519560.211037       18900 
23477.7        0.52755        2.11663     3.2167     1.519730.210992       18898 
23478.2        0.5276         2.11685     3.2168     1.519620.210947       18896 
23482.7        0.52765        2.11707     3.2176     1.519830.210903       18894 
23483.2        0.5277         2.1173     3.218      1.519860.210858       18892 
23483.8        0.52775        2.11752     3.2182     1.519790.210813       18890 
23485.3        0.5278         2.11775     3.2184     1.519730.210769       18888 
23487.8        0.52785        2.11797     3.2185     1.519610.210724       18886 
23488          0.5279         2.1182     3.2187     1.519550.210679       18884 
23492.3        0.52795        2.11842     3.2191     1.519580.210635       18882 
23493.4        0.528          2.11864     3.2213     1.520450.21059        18880 
23501.5        0.52805        2.11887     3.2214     1.520340.210546       18878 
23506.8        0.5281         2.11909     3.2217     1.520320.210501       18876 
23510.5        0.52815        2.11932     3.2225     1.520540.210456       18874 
23514.5        0.5282         2.11954     3.2231     1.520660.210412       18872 
23515.5        0.52825        2.11977     3.2233     1.520590.210367       18870 
23527.1        0.5283         2.11999     3.2235     1.520520.210323       18868 
23527.9        0.52835        2.12022     3.224      1.52060.210278       18866 
23528.8        0.5284         2.12044     3.2246     1.520720.210233       18864 
23528.9        0.52845        2.12067     3.2248     1.520650.210189       18862 
23534          0.5285         2.12089     3.2252     1.520680.210144       18860 
23540.7        0.52855        2.12112     3.2256     1.520710.2101         18858 
23550.1        0.5286         2.12134     3.226      1.520740.210055       18856 
23558.8        0.52865        2.12157     3.2264     1.520760.210011       18854 
23562.7        0.5287         2.12179     3.2269     1.520840.209966       18852 
23564.1        0.52875        2.12202     3.2274     1.520910.209922       18850 
23570.9        0.5288         2.12224     3.2292     1.52160.209877       18848 
23578.6        0.52885        2.12247     3.2295     1.521580.209832       18846 
23583.1        0.5289         2.12269     3.2299     1.521610.209788       18844 
23586.1        0.52895        2.12292     3.2313     1.52210.209743       18842 
23588.6        0.529          2.12314     3.2321     1.522320.209699       18840 
23588.6        0.52905        2.12337     3.2324     1.52230.209654       18838 
23596.3        0.5291         2.12359     3.2325     1.522180.20961        18836 
23612.5        0.52915        2.12382     3.2326     1.522070.209565       18834 
23637.9        0.5292         2.12404     3.2327     1.521960.209521       18832 
23639.1        0.52925        2.12427     3.2328     1.521840.209476       18830 
23659.5        0.5293         2.1245     3.2336     1.522060.209432       18828 
23664.1        0.52935        2.12472     3.2342     1.522180.209387       18826 
23665.3        0.5294         2.12495     3.2343     1.522060.209343       18824 
23665.6        0.52945        2.12517     3.2344     1.521950.209298       18822 
23666.7        0.5295         2.1254     3.2352     1.522160.209254       18820 
23667.5        0.52955        2.12562     3.2388     1.523690.209209       18818 
23670.2        0.5296         2.12585     3.2392     1.523720.209165       18816 
23698.8        0.52965        2.12608     3.2403     1.524080.209121       18814 
23699.4        0.5297         2.1263     3.2409     1.52420.209076       18812 
23700.6        0.52975        2.12653     3.2411     1.524130.209032       18810 
23704.3        0.5298         2.12675     3.242      1.524390.208987       18808 
23707.2        0.52985        2.12698     3.2422     1.524320.208943       18806 
23707.4        0.5299         2.12721     3.2429     1.524490.208898       18804 
23710.8        0.52995        2.12743     3.2431     1.524420.208854       18802 
23721.1        0.53           2.12766     3.2432     1.52430.208809       18800 
23721.2        0.53005        2.12789     3.244      1.524520.208765       18798 
23721.7        0.5301         2.12811     3.2441     1.52440.208721       18796 
23724.9        0.53015        2.12834     3.2444     1.524380.208676       18794 
23739.1        0.5302         2.12857     3.2448     1.524410.208632       18792 
23739.7        0.53025        2.12879     3.2453     1.524480.208587       18790 
23740.6        0.5303         2.12902     3.2459     1.52460.208543       18788 
23747.7        0.53035        2.12925     3.2464     1.524670.208499       18786 
23748.8        0.5304         2.12947     3.2467     1.524650.208454       18784 
23753.7        0.53045        2.1297     3.2471     1.524680.20841        18782 
23757.5        0.5305         2.12993     3.2475     1.52470.208366       18780 
23761.9        0.53055        2.13015     3.2478     1.524680.208321       18778 
23764.5        0.5306         2.13038     3.248      1.524610.208277       18776 
23777.8        0.53065        2.13061     3.2483     1.524590.208232       18774 
23782.7        0.5307         2.13083     3.2487     1.524610.208188       18772 
23797.2        0.53075        2.13106     3.2488     1.52450.208144       18770 
23802.2        0.5308         2.13129     3.249      1.524430.208099       18768 
23805.7        0.53085        2.13151     3.2492     1.524360.208055       18766 
23805.9        0.5309         2.13174     3.2494     1.524290.208011       18764 
23809.1        0.53095        2.13197     3.2496     1.524220.207966       18762 
23812          0.531          2.1322     3.2498     1.524160.207922       18760 
23819.6        0.53105        2.13242     3.2499     1.524040.207878       18758 
23823.6        0.5311         2.13265     3.2501     1.523970.207833       18756 
23828.3        0.53115        2.13288     3.2513     1.524370.207789       18754 
23830.1        0.5312         2.13311     3.2515     1.52430.207745       18752 
23843.6        0.53125        2.13333     3.252      1.524370.2077         18750 
23852.5        0.5313         2.13356     3.2523     1.524350.207656       18748 
23855.3        0.53135        2.13379     3.2524     1.524240.207612       18746 
23857.1        0.5314         2.13402     3.2526     1.524170.207568       18744 
23857.6        0.53145        2.13424     3.2527     1.524050.207523       18742 
23865.9        0.5315         2.13447     3.2531     1.524080.207479       18740 
23875.9        0.53155        2.1347     3.2533     1.524010.207435       18738 
23877.4        0.5316         2.13493     3.2541     1.524220.20739        18736 
23879.7        0.53165        2.13516     3.2551     1.524530.207346       18734 
23889.3        0.5317         2.13538     3.2552     1.524410.207302       18732 
23891.3        0.53175        2.13561     3.2562     1.524720.207258       18730 
23895.5        0.5318         2.13584     3.2564     1.524650.207213       18728 
23899.5        0.53185        2.13607     3.2569     1.524720.207169       18726 
23905.2        0.5319         2.1363     3.2572     1.52470.207125       18724 
23914.3        0.53195        2.13652     3.2573     1.524580.207081       18722 
23915          0.532          2.13675     3.2575     1.524510.207036       18720 
23920.2        0.53205        2.13698     3.2577     1.524440.206992       18718 
23932.4        0.5321         2.13721     3.2578     1.524320.206948       18716 
23933.1        0.53215        2.13744     3.258      1.524260.206904       18714 
23936.6        0.5322         2.13767     3.2583     1.524230.206859       18712 
23944.6        0.53225        2.13789     3.2595     1.524630.206815       18710 
23949.8        0.5323         2.13812     3.2597     1.524560.206771       18708 
23959.2        0.53235        2.13835     3.2598     1.524450.206727       18706 
23967.2        0.5324         2.13858     3.2601     1.524420.206683       18704 
23968          0.53245        2.13881     3.2605     1.524450.206638       18702 
23970.5        0.5325         2.13904     3.2617     1.524840.206594       18700 
23972.1        0.53255        2.13927     3.2621     1.524870.20655        18698 
23975.5        0.5326         2.1395     3.2624     1.524850.206506       18696 
23977.3        0.53265        2.13972     3.2625     1.524730.206462       18694 
23977.9        0.5327         2.13995     3.2637     1.525130.206418       18692 
23987.7        0.53275        2.14018     3.2643     1.525240.206373       18690 
23987.9        0.5328         2.14041     3.2648     1.525310.206329       18688 
23988          0.53285        2.14064     3.2649     1.52520.206285       18686 
23995.9        0.5329         2.14087     3.2653     1.525220.206241       18684 
23997.1        0.53295        2.1411     3.2655     1.525150.206197       18682 
23999.7        0.533          2.14133     3.2657     1.525080.206153       18680 
24002.1        0.53305        2.14156     3.2658     1.524970.206108       18678 
24007.5        0.5331         2.14179     3.2663     1.525040.206064       18676 
24013.2        0.53315        2.14202     3.2666     1.525010.20602        18674 
24013.4        0.5332         2.14225     3.2668     1.524940.205976       18672 
24025          0.53325        2.14247     3.267      1.524870.205932       18670 
24033.2        0.5333         2.1427     3.2674     1.52490.205888       18668 
24035.7        0.53335        2.14293     3.268      1.525010.205844       18666 
24041.1        0.5334         2.14316     3.2682     1.524940.2058         18664 
24041.7        0.53345        2.14339     3.2683     1.524830.205756       18662 
24049.8        0.5335         2.14362     3.2695     1.525220.205711       18660 
24055.7        0.53355        2.14385     3.2703     1.525430.205667       18658 
24057          0.5336         2.14408     3.2704     1.525310.205623       18656 
24057.3        0.53365        2.14431     3.2705     1.52520.205579       18654 
24065.1        0.5337         2.14454     3.2709     1.525220.205535       18652 
24067.2        0.53375        2.14477     3.2713     1.525240.205491       18650 
24067.4        0.5338         2.145      3.2719     1.525360.205447       18648 
24079          0.53385        2.14523     3.2722     1.525340.205403       18646 
24082.8        0.5339         2.14546     3.2747     1.526340.205359       18644 
24085.6        0.53395        2.14569     3.2751     1.526360.205315       18642 
24087.4        0.534          2.14592     3.2758     1.526520.205271       18640 
24094.5        0.53405        2.14615     3.2786     1.527660.205227       18638 
24096.2        0.5341         2.14638     3.2788     1.527590.205183       18636 
24102.8        0.53415        2.14661     3.2796     1.52780.205139       18634 
24106.1        0.5342         2.14684     3.28       1.527820.205095       18632 
24109.5        0.53425        2.14707     3.2806     1.527940.205051       18630 
24110.5        0.5343         2.14731     3.281      1.527960.205007       18628 
24115.7        0.53435        2.14754     3.2811     1.527840.204963       18626 
24125.6        0.5344         2.14777     3.2813     1.527770.204919       18624 
24140.9        0.53445        2.148      3.2815     1.52770.204875       18622 
24142.7        0.5345         2.14823     3.2817     1.527630.204831       18620 
24145.2        0.53455        2.14846     3.2818     1.527510.204787       18618 
24146.6        0.5346         2.14869     3.2824     1.527630.204743       18616 
24154.9        0.53465        2.14892     3.2828     1.527650.204699       18614 
24155.2        0.5347         2.14915     3.2829     1.527530.204655       18612 
24158.1        0.53475        2.14938     3.2833     1.527560.204611       18610 
24159.6        0.5348         2.14961     3.2834     1.527440.204567       18608 
24161.9        0.53485        2.14984     3.2837     1.527410.204523       18606 
24164.9        0.5349         2.15008     3.2841     1.527430.204479       18604 
24183.4        0.53495        2.15031     3.2843     1.527360.204435       18602 
24186.3        0.535          2.15054     3.2847     1.527390.204391       18600 
24196.1        0.53505        2.15077     3.2848     1.527270.204347       18598 
24211.3        0.5351         2.151      3.2849     1.527150.204303       18596 
24212.5        0.53515        2.15123     3.2851     1.527080.204259       18594 
24215.1        0.5352         2.15146     3.2855     1.52710.204215       18592 
24222.3        0.53525        2.15169     3.2856     1.526980.204171       18590 
24223.1        0.5353         2.15193     3.2859     1.526960.204127       18588 
24223.8        0.53535        2.15216     3.2863     1.526980.204083       18586 
24227.3        0.5354         2.15239     3.2866     1.526950.204039       18584 
24230.7        0.53545        2.15262     3.287      1.526980.203995       18582 
24237.8        0.5355         2.15285     3.29       1.528210.203952       18580 
24239.7        0.53555        2.15308     3.2903     1.528180.203908       18578 
24245.5        0.5356         2.15332     3.2904     1.528060.203864       18576 
24247.1        0.53565        2.15355     3.2907     1.528040.20382        18574 
24252.7        0.5357         2.15378     3.2915     1.528240.203776       18572 
24258          0.53575        2.15401     3.2923     1.528450.203732       18570 
24260.9        0.5358         2.15424     3.2925     1.528380.203688       18568 
24265.3        0.53585        2.15448     3.2928     1.528350.203644       18566 
24267          0.5359         2.15471     3.2931     1.528330.203601       18564 
24268.2        0.53595        2.15494     3.2933     1.528260.203557       18562 
24282.2        0.536          2.15517     3.2934     1.528140.203513       18560 
24285.2        0.53605        2.1554     3.294      1.528250.203469       18558 
24291          0.5361         2.15564     3.2949     1.52850.203425       18556 
24295.4        0.53615        2.15587     3.2961     1.52890.203381       18554 
24295.6        0.5362         2.1561     3.2964     1.528870.203337       18552 
24295.7        0.53625        2.15633     3.297      1.528980.203294       18550 
24312          0.5363         2.15657     3.2972     1.528910.20325        18548 
24331.5        0.53635        2.1568     3.298      1.529120.203206       18546 
24331.9        0.5364         2.15703     3.2986     1.529230.203162       18544 
24334.6        0.53645        2.15726     3.3002     1.529810.203118       18542 
24335          0.5365         2.1575     3.3003     1.529690.203074       18540 
24336.5        0.53655        2.15773     3.3011     1.529890.203031       18538 
24338.2        0.5366         2.15796     3.3014     1.529870.202987       18536 
24348.6        0.53665        2.1582     3.3019     1.529940.202943       18534 
24351.8        0.5367         2.15843     3.3031     1.530330.202899       18532 
24359          0.53675        2.15866     3.3034     1.53030.202855       18530 
24376.4        0.5368         2.15889     3.3035     1.530180.202812       18528 
24384.9        0.53685        2.15913     3.3043     1.530390.202768       18526 
24386.1        0.5369         2.15936     3.3045     1.530310.202724       18524 
24401.6        0.53695        2.15959     3.3055     1.530610.20268        18522 
24412.2        0.537          2.15983     3.3057     1.530540.202637       18520 
24415.6        0.53705        2.16006     3.3064     1.53070.202593       18518 
24419.7        0.5371         2.16029     3.3068     1.530720.202549       18516 
24441.4        0.53715        2.16053     3.3069     1.53060.202505       18514 
24442.1        0.5372         2.16076     3.3077     1.53080.202462       18512 
24450.3        0.53725        2.16099     3.3084     1.530960.202418       18510 
24450.5        0.5373         2.16123     3.3087     1.530940.202374       18508 
24454.5        0.53735        2.16146     3.3091     1.530960.20233        18506 
24457.3        0.5374         2.16169     3.3095     1.530970.202287       18504 
24459.7        0.53745        2.16193     3.3103     1.531180.202243       18502 
24460.8        0.5375         2.16216     3.3115     1.531570.202199       18500 
24463.5        0.53755        2.1624     3.3117     1.53150.202156       18498 
24466.2        0.5376         2.16263     3.3144     1.532580.202112       18496 
24470.6        0.53765        2.16286     3.3148     1.53260.202068       18494 
24472.8        0.5377         2.1631     3.3149     1.532480.202024       18492 
24474.2        0.53775        2.16333     3.3154     1.532540.201981       18490 
24474.2        0.5378         2.16357     3.3161     1.53270.201937       18488 
24477.4        0.53785        2.1638     3.3165     1.532720.201893       18486 
24477.6        0.5379         2.16403     3.3168     1.532690.20185        18484 
24477.9        0.53795        2.16427     3.317      1.532620.201806       18482 
24487.4        0.538          2.1645     3.3171     1.53250.201762       18480 
24491.3        0.53805        2.16474     3.3172     1.532380.201719       18478 
24491.4        0.5381         2.16497     3.3174     1.532310.201675       18476 
24504.8        0.53815        2.16521     3.3175     1.532190.201631       18474 
24509.2        0.5382         2.16544     3.3177     1.532110.201588       18472 
24512.5        0.53825        2.16567     3.3179     1.532040.201544       18470 
24517.5        0.5383         2.16591     3.318      1.531920.2015         18468 
24522.1        0.53835        2.16614     3.3182     1.531850.201457       18466 
24529.2        0.5384         2.16638     3.3184     1.531770.201413       18464 
24530.5        0.53845        2.16661     3.3186     1.53170.20137        18462 
24533.9        0.5385         2.16685     3.3198     1.532090.201326       18460 
24534.3        0.53855        2.16708     3.3199     1.531970.201282       18458 
24536.3        0.5386         2.16732     3.3205     1.532080.201239       18456 
24536.9        0.53865        2.16755     3.321      1.532140.201195       18454 
24542.8        0.5387         2.16779     3.3228     1.532810.201151       18452 
24544.7        0.53875        2.16802     3.323      1.532730.201108       18450 
24551.5        0.5388         2.16826     3.3236     1.532840.201064       18448 
24551.9        0.53885        2.16849     3.3238     1.532770.201021       18446 
24553.2        0.5389         2.16873     3.3243     1.532830.200977       18444 
24565          0.53895        2.16896     3.3258     1.533360.200934       18442 
24567          0.539          2.1692     3.326      1.533290.20089        18440 
24572.7        0.53905        2.16943     3.3263     1.533260.200846       18438 
24574.3        0.5391         2.16967     3.3266     1.533230.200803       18436 
24576.5        0.53915        2.1699     3.327      1.533250.200759       18434 
24584.3        0.5392         2.17014     3.3271     1.533130.200716       18432 
24587          0.53925        2.17037     3.3273     1.533050.200672       18430 
24605.8        0.5393         2.17061     3.3274     1.532930.200629       18428 
24607          0.53935        2.17085     3.3277     1.532910.200585       18426 
24609.9        0.5394         2.17108     3.328      1.532880.200542       18424 
24610.3        0.53945        2.17132     3.3281     1.532760.200498       18422 
24615.3        0.5395         2.17155     3.3283     1.532680.200454       18420 
24617.1        0.53955        2.17179     3.3285     1.532610.200411       18418 
24618.1        0.5396         2.17202     3.3286     1.532490.200367       18416 
24619.7        0.53965        2.17226     3.3288     1.532410.200324       18414 
24621.4        0.5397         2.1725     3.329      1.532340.20028        18412 
24626.4        0.53975        2.17273     3.3292     1.532260.200237       18410 
24635.6        0.5398         2.17297     3.3296     1.532280.200193       18408 
24638.8        0.53985        2.1732     3.3297     1.532160.20015        18406 
24643.8        0.5399         2.17344     3.33       1.532130.200106       18404 
24652.4        0.53995        2.17368     3.3302     1.532060.200063       18402 
24656.4        0.54           2.17391     3.3312     1.532350.200019       18400 
24656.7        0.54005        2.17415     3.3315     1.532320.199976       18398 
24662          0.5401         2.17439     3.3317     1.532250.199932       18396 
24679.9        0.54015        2.17462     3.3326     1.53250.199889       18394 
24680.7        0.5402         2.17486     3.3328     1.532420.199846       18392 
24682          0.54025        2.1751     3.333      1.532350.199802       18390 
24690.3        0.5403         2.17533     3.3332     1.532270.199759       18388 
24696.2        0.54035        2.17557     3.3334     1.53220.199715       18386 
24698.7        0.5404         2.17581     3.3337     1.532170.199672       18384 
24700.3        0.54045        2.17604     3.3338     1.532050.199628       18382 
24718          0.5405         2.17628     3.3339     1.531930.199585       18380 
24720.9        0.54055        2.17652     3.334      1.531810.199541       18378 
24745.9        0.5406         2.17675     3.336      1.532560.199498       18376 
24746.7        0.54065        2.17699     3.3364     1.532580.199455       18374 
24756.3        0.5407         2.17723     3.3365     1.532450.199411       18372 
24757.2        0.54075        2.17746     3.3366     1.532330.199368       18370 
24757.6        0.5408         2.1777     3.3372     1.532440.199324       18368 
24770.2        0.54085        2.17794     3.3378     1.532550.199281       18366 
24771.5        0.5409         2.17817     3.3386     1.532750.199238       18364 
24780.4        0.54095        2.17841     3.3391     1.532810.199194       18362 
24793.2        0.541          2.17865     3.3396     1.532880.199151       18360 
24798.3        0.54105        2.17889     3.3397     1.532760.199107       18358 
24799.9        0.5411         2.17912     3.3402     1.532820.199064       18356 
24800.4        0.54115        2.17936     3.3403     1.53270.199021       18354 
24817.7        0.5412         2.1796     3.3405     1.532620.198977       18352 
24824.9        0.54125        2.17984     3.3411     1.532730.198934       18350 
24837.8        0.5413         2.18007     3.3413     1.532650.198891       18348 
24840.9        0.54135        2.18031     3.3416     1.532620.198847       18346 
24845.9        0.5414         2.18055     3.3422     1.532730.198804       18344 
24852.8        0.54145        2.18079     3.3426     1.532750.198761       18342 
24853.9        0.5415         2.18103     3.343      1.532770.198717       18340 
24863.6        0.54155        2.18126     3.3434     1.532780.198674       18338 
24870.2        0.5416         2.1815     3.3442     1.532980.198631       18336 
24886.7        0.54165        2.18174     3.3448     1.533090.198587       18334 
24896.8        0.5417         2.18198     3.345      1.533010.198544       18332 
24901.2        0.54175        2.18221     3.3451     1.532890.198501       18330 
24902.4        0.5418         2.18245     3.3456     1.532950.198457       18328 
24904.6        0.54185        2.18269     3.3459     1.532920.198414       18326 
24904.7        0.5419         2.18293     3.346      1.53280.198371       18324 
24911.6        0.54195        2.18317     3.3464     1.532820.198327       18322 
24913.9        0.542          2.18341     3.3466     1.532740.198284       18320 
24927.8        0.54205        2.18364     3.3468     1.532670.198241       18318 
24927.8        0.5421         2.18388     3.3469     1.532550.198198       18316 
24930          0.54215        2.18412     3.3478     1.532790.198154       18314 
24931.6        0.5422         2.18436     3.3479     1.532670.198111       18312 
24932.4        0.54225        2.1846     3.3487     1.532870.198068       18310 
24936.7        0.5423         2.18484     3.3489     1.532790.198024       18308 
24940.3        0.54235        2.18508     3.3495     1.53290.197981       18306 
24948.4        0.5424         2.18531     3.3499     1.532910.197938       18304 
24956.4        0.54245        2.18555     3.35       1.532790.197895       18302 
24983.9        0.5425         2.18579     3.3503     1.532760.197851       18300 
24988.8        0.54255        2.18603     3.3506     1.532730.197808       18298 
24991.5        0.5426         2.18627     3.3508     1.532660.197765       18296 
24992          0.54265        2.18651     3.3514     1.532760.197722       18294 
24995.1        0.5427         2.18675     3.352      1.532870.197679       18292 
24998.5        0.54275        2.18699     3.3525     1.532930.197635       18290 
24998.7        0.5428         2.18723     3.3531     1.533040.197592       18288 
25010          0.54285        2.18747     3.3543     1.533420.197549       18286 
25010.5        0.5429         2.18771     3.3547     1.533430.197506       18284 
25020.5        0.54295        2.18794     3.3559     1.533810.197462       18282 
25025.3        0.543          2.18818     3.3563     1.533830.197419       18280 
25029.9        0.54305        2.18842     3.3568     1.533890.197376       18278 
25030.9        0.5431         2.18866     3.3574     1.534 0.197333       18276 
25034.1        0.54315        2.1889     3.3578     1.534010.19729        18274 
25042.6        0.5432         2.18914     3.358      1.533930.197247       18272 
25043.2        0.54325        2.18938     3.3584     1.533950.197203       18270 
25045.8        0.5433         2.18962     3.3586     1.533870.19716        18268 
25051.8        0.54335        2.18986     3.3587     1.533750.197117       18266 
25052.9        0.5434         2.1901     3.3588     1.533630.197074       18264 
25054.2        0.54345        2.19034     3.3589     1.533510.197031       18262 
25055          0.5435         2.19058     3.3591     1.533430.196988       18260 
25061.9        0.54355        2.19082     3.3592     1.533310.196944       18258 
25075.3        0.5436         2.19106     3.3593     1.533180.196901       18256 
25081.3        0.54365        2.1913     3.3594     1.533060.196858       18254 
25082.9        0.5437         2.19154     3.3598     1.533080.196815       18252 
25083.5        0.54375        2.19178     3.36       1.533 0.196772       18250 
25084.4        0.5438         2.19202     3.3601     1.532880.196729       18248 
25086.3        0.54385        2.19226     3.3604     1.532850.196686       18246 
25088.6        0.5439         2.1925     3.3607     1.532820.196643       18244 
25093.2        0.54395        2.19274     3.3609     1.532740.196599       18242 
25104.3        0.544          2.19298     3.3612     1.532710.196556       18240 
25120.4        0.54405        2.19322     3.3613     1.532580.196513       18238 
25120.5        0.5441         2.19346     3.3615     1.532510.19647        18236 
25122.2        0.54415        2.1937     3.3621     1.532610.196427       18234 
25138.1        0.5442         2.19394     3.3623     1.532540.196384       18232 
25144.3        0.54425        2.19419     3.3625     1.532460.196341       18230 
25147.9        0.5443         2.19443     3.3627     1.532380.196298       18228 
25151.1        0.54435        2.19467     3.3632     1.532440.196255       18226 
25159.6        0.5444         2.19491     3.3633     1.532320.196212       18224 
25161.6        0.54445        2.19515     3.3634     1.53220.196169       18222 
25168.1        0.5445         2.19539     3.364      1.53230.196126       18220 
25169.4        0.54455        2.19563     3.3658     1.532950.196083       18218 
25169.8        0.5446         2.19587     3.3659     1.532830.196039       18216 
25184.2        0.54465        2.19611     3.3661     1.532750.195996       18214 
25186.1        0.5447         2.19635     3.3682     1.533540.195953       18212 
25188.3        0.54475        2.1966     3.3688     1.533650.19591        18210 
25189          0.5448         2.19684     3.3689     1.533520.195867       18208 
25191.4        0.54485        2.19708     3.3691     1.533450.195824       18206 
25200.9        0.5449         2.19732     3.3693     1.533370.195781       18204 
25207.3        0.54495        2.19756     3.3697     1.533380.195738       18202 
25211.6        0.545          2.1978     3.3703     1.533490.195695       18200 
25221.4        0.54505        2.19804     3.3707     1.53350.195652       18198 
25224.2        0.5451         2.19829     3.3713     1.53360.195609       18196 
25238.2        0.54515        2.19853     3.3717     1.533620.195566       18194 
25240.6        0.5452         2.19877     3.3718     1.533490.195523       18192 
25243          0.54525        2.19901     3.3722     1.533510.19548        18190 
25255.1        0.5453         2.19925     3.3724     1.533430.195437       18188 
25267.6        0.54535        2.19949     3.3733     1.533670.195394       18186 
25275          0.5454         2.19974     3.3735     1.533590.195351       18184 
25283.1        0.54545        2.19998     3.3747     1.533970.195308       18182 
25286.7        0.5455         2.20022     3.3753     1.534070.195265       18180 
25289.1        0.54555        2.20046     3.3754     1.533950.195223       18178 
25293.7        0.5456         2.2007     3.3757     1.533920.19518        18176 
25297.9        0.54565        2.20095     3.3762     1.533980.195137       18174 
25299.2        0.5457         2.20119     3.3764     1.53390.195094       18172 
25299.3        0.54575        2.20143     3.3766     1.533820.195051       18170 
25309.5        0.5458         2.20167     3.3771     1.533880.195008       18168 
25319          0.54585        2.20192     3.3772     1.533760.194965       18166 
25328.9        0.5459         2.20216     3.3788     1.534310.194922       18164 
25329.1        0.54595        2.2024     3.3789     1.534190.194879       18162 
25336.1        0.546          2.20264     3.3797     1.534380.194836       18160 
25336.2        0.54605        2.20289     3.3799     1.534310.194793       18158 
25351.6        0.5461         2.20313     3.3801     1.534230.19475        18156 
25352.3        0.54615        2.20337     3.3803     1.534150.194707       18154 
25354.5        0.5462         2.20361     3.3807     1.534160.194665       18152 
25357.4        0.54625        2.20386     3.3808     1.534040.194622       18150 
